index_tree,name_tree,type,location_outdoor,location_indoor,location_semi,pattern_pots,pattern_gardent,pattern_hanging,pots_ontable,watering_little,watering_mid,watering_freq,sunrise_full,sunrise_half,sunrise_faintly,air_puri,auspicious,size_s,size_m,size_l
1,ชวนชม,flower,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0
2,เข็ม,flower,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
3,ทองอุไร,flower,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
4,พู่ระหง,flower,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
5,มะลิ,flower,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0
6,เฟื้องฟ้า,flower,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1
7,กุหลาบ,flower,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0
8,แก้ว,flower,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
9,ยี่โถ,flower,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
10,ชบา,flower,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0
11,คุณนายตื่นสาย,flower,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0
12,พิทูเนีย,flower,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0
13,กล้วยไม้ หวาย,flower,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0
14,เดหลี,flower,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0
15,ทานตะวัน,flower,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0
16,ดาวเรือง,flower,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
17,แววมยุรา,flower,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0
18,ทิวลิป,flower,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0
19,เบญจมาศ,flower,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0
20,หน้าวัว,flower,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0
