location_outdoor,location_indoor,location_semi,pattern_pots,pattern_gardent,pattern_hanging,watering_little,watering_mid,watering_freq,sunrise_full,sunrise_half,sunrise_faintly,air_puri,auspicious,size_s,size_m,size_l
1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0
1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0
1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1
1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0
1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1
1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0
1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1
1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0
1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0
1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0
1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0
1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0
1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0
1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0
1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0
0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0
