index_tree,name_tree,type,location_outdoor,location_indoor,location_semi,pattern_pots,pattern_gardent,pattern_hanging,pots_ontable,watering_little,watering_mid,watering_freq,sunrise_full,sunrise_half,sunrise_faintly,air_puri,auspicious,size_s,size_m,size_l
21,พลูด่าง,leaf,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
22,เงินไหลมา,leaf,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0
23,มรกตแดง,leaf,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0
24,ราชินีหินอ่อน,leaf,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0
25,ออมเงิน ออมทอง,leaf,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
26,เคราฤาษี,leaf,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0
27,ไอวี่เลื้อยด่าง,leaf,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0
28,เดฟหัวใจ,leaf,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0
29,เดฟกระดุม,leaf,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
30,มอนสเตรา,leaf,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0
31,โกสน,leaf,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0
32,กวนอิมเงิน,leaf,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0
33,หมากผู้หมากเมีย,leaf,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0
34,ข่อย,leaf,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
35,ลิ้นมังกร,leaf,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0
36,วาสนาอธิษฐาน,leaf,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0
37,สนฉัตร,leaf,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1
38,หนวดปลาหมึกด่างแคระ,leaf,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0
39,อัญมณีแดง,leaf,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0
40,ว่านงาช้าง,leaf,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
